TX_MUNTY_DESCR_NL,MS_POPULATION
Aalst (Aalst),79052
Aalter,19260
Aarlen,27466
Aarschot,28223
Aartselaar,14265
Aat,27753
Affligem,12347
Aiseau-Presles,10687
Alken,11173
Alveringem,4979
Amay,13372
Amel,5377
Andenne,24920
Anderlecht,101371
Anderlues,11609
Anhée,6998
Ans,27759
Anthisnes,4023
Antoing,7620
Antwerpen,477936
Anzegem,14195
Ardooie,9081
Arendonk,12679
As,7685
Asse,29850
Assenede,13752
Assesse,6419
Attert,4999
Aubange,15624
Aubel,4132
Avelgem,9601
Awans,8751
Aywaille,11345
Baarle-Hertog,2431
Baelen,4169
Balen,20811
Bastenaken,14713
Beaumont,6869
Beauraing,8567
Beernem,14910
Beerse,16931
Beersel,23756
Begijnendijk,9706
Bekkevoort,5943
Beloeil,13608
Bergen,91406
Beringen,42327
Berlaar,10817
Berlare,14549
Berloz,2889
Bernissart,11595
Bertem,9524
Bertogne,3102
Bertrix,8325
Bevekom,6653
Bever,2094
Beveren (Sint-Niklaas),46084
Beyne-Heusay,11921
Bierbeek,9367
Bilzen,30642
Binche,32687
Bitsingen,8536
Bièvre,3178
Blankenberge,18660
Blégny,13099
Bocholt,12625
Boechout,12589
Bonheiden,14611
Boom,16598
Boortmeerbeek,11714
Borgloon,10337
Borgworm,14481
Bornem,20475
Borsbeek,10136
Bouillon,5498
Boussu,20049
Boutersem,7654
Braives,5719
Brakel,14001
Brasschaat,37014
Brecht,27406
Bredene,15905
Bree,15013
Brugelette,3336
Brugge,116969
Brunehaut,7818
Brussel,153377
Buggenhout,14036
Burdinne,2947
Burg-Reuland,3943
Büllingen,5508
Bütgenbach,5646
Celles (Doornik),5492
Cerfontaine,4680
Chapelle-lez-Herlaimont,14212
Charleroi,202234
Chastre,6897
Chaudfontaine,20904
Chaumont-Gistoux,11296
Chimay,9870
Chiny,5150
Chièvres,6523
Châtelet,35884
Ciney,15508
Clavier,4344
Colfontaine,20095
Comblain-au-Pont,5429
Courcelles,30058
Court-Saint-Etienne,9692
Couvin,13550
Crisnée,2922
Dalhem,6805
Damme,10833
Daverdisse,1359
De Haan,12339
De Panne,10430
De Pinte,10216
Deerlijk,11299
Deinze,28989
Denderleeuw,18276
Dendermonde,43931
Dentergem,8241
Dessel,9049
Destelbergen,17510
Diepenbeek,18129
Diest,23069
Diksmuide,16147
Dilbeek,39742
Dilsen-Stokkem,19462
Dinant,13193
Dison,14602
Doische,2858
Donceel,2953
Doornik,68426
Dour,16776
Drogenbos,4884
Duffel,16429
Durbuy,10849
Ecaussinnes,10460
Edegem,21222
Edingen,12568
Eeklo,19940
Eghezée,15011
Eigenbrakel,37948
Elsene,80312
Elzele,5824
Engis,5781
Erezée,2992
Erpe-Mere,19170
Erquelinnes,9587
Esneux,13114
Essen,17636
Estaimpuis,9998
Estinnes,7548
Etalle,5512
Etterbeek,43512
Eupen,18483
Evere,35372
Evergem,32854
Faimes,3614
Farciennes,11012
Fauvillers,2158
Fernelmont,6977
Ferrières,4606
Fexhe-le-Haut-Clocher,3082
Fleurus,22409
Floreffe,7589
Florennes,10987
Florenville,5464
Flémalle,24876
Fléron,16069
Fontaine-l’Evêque,16855
Fosses-la-Ville,9617
Frameries,20784
Frasnes-lez-Anvaing,11184
Froidchapelle,3652
Galmaarden,8310
Ganshoren,22160
Gavere,12461
Gedinne,4431
Geel,36711
Geer,3037
Geetbets,5866
Geldenaken,12943
Gembloux,22779
Genepiën,14537
Genk,64527
Gent,240049
Geraardsbergen,31840
Gerpinnes,12007
Gesves,6633
Gingelom,8060
Gistel,11702
Glabbeek,5264
Gooik,8921
Gouvy,4920
Graven,12673
Grimbergen,34854
Grobbendonk,10890
Grâce-Hollogne,21743
Haacht,14001
Haaltert,17642
Habay,8068
Halen,9015
Halle (Halle-Vilvoorde),35691
Ham,10093
Ham-sur-Heure-Nalinnes,13455
Hamme (Dendermonde),23798
Hamoir,3675
Hamois,6878
Hamont-Achel,14057
Hannuit,14964
Harelbeke,26474
Hasselt,72315
Hastière,5524
Havelange,4969
Hechtel-Eksel,11753
Heers,6970
Heist-op-den-Berg,39603
Hemiksem,10047
Hensies,6760
Herbeumont,1555
Herent,19802
Herentals,26446
Herenthout,8628
Herk-de-Stad,12081
Herne,6597
Herselt,14267
Herstal,38115
Herstappe,85
Herve,16793
Herzele,17059
Heusden-Zolder,31473
Heuvelland,8118
Hoegaarden,6456
Hoei,20599
Hoeilaart,10215
Hoeselt,9424
Holsbeek,9562
Honnelles,4974
Hooglede,10005
Hoogstraten,19578
Horebeke,2037
Hotton,5105
Houffalize,4900
Houthalen-Helchteren,30120
Houthulst,9479
Houyet,4506
Hove (Antwerpen),8212
Huldenberg,9350
Hulshout,9779
Hélécine,3134
Héron,4720
Ichtegem,13687
Ieper,34828
Incourt,4820
Ingelmunster,10624
Itter,6221
Izegem,26847
Jabbeke,13764
Jalhay,8095
Jemeppe-sur-Sambre,18258
Jette,45637
Juprelle,8718
Jurbeke,9777
Kalmthout,17587
Kampenhout,11174
Kapelle-op-den-Bos,8911
Kapellen (Antwerpen),26297
Kaprijke,6177
Kasteelbrakel,9655
Kasterlee,18058
Keerbergen,12708
Kelmis,10587
Kinrooi,12156
Kluisbergen,6443
Knesselare,8111
Knokke-Heist,33879
Koekelare,8357
Koekelberg,19380
Koksijde,21608
Komen-Waasten,17612
Kontich,20335
Kortemark,12043
Kortenaken,7665
Kortenberg,18795
Kortessem,8153
Kortrijk,74229
Kraainem,13111
Kruibeke,15642
Kruishoutem,8150
Kuurne,12775
La Bruyère,8671
La Louvière,77726
La Roche-en-Ardenne,4357
Laakdal,15242
Laarne,11976
Lanaken,25095
Landen,15115
Langemark-Poelkapelle,7811
Lasne,13940
Le Roeulx,8143
Lebbeke,17799
Lede,17564
Ledegem,9499
Lendelede,5536
Lennik,8812
Lens,4130
Leopoldsburg,14828
Les Bons Villers,8972
Lessen,18231
Leuven,94290
Leuze-en-Hainaut,13412
Libin,4805
Libramont-Chevigny,10230
Lichtervelde,8483
Liedekerke,12214
Lier,33706
Lierde,6478
Lierneux,3418
Lijsem,3101
Lille,15978
Limburg,5733
Linkebeek,4767
Lint,8229
Linter,7100
Lo-Reninge,3326
Lobbes,5613
Lochristi,21216
Lokeren,38814
Lommel,32703
Londerzeel,17620
Lontzen,5368
Lovendegem,9439
Lubbeek,13766
Luik,190742
Lummen,14174
Léglise,4484
Maarkedal,6441
Maaseik,24457
Maasmechelen,36818
Machelen (Halle-Vilvoorde),13214
Maldegem,22667
Malle,14422
Malmedy,12003
Manage,22407
Manhay,3301
Marche-en-Famenne,17242
Marchin,5231
Martelange,1611
Mechelen,80205
Meerhout,9661
Meeuwen-Gruitrode,12687
Meise,18378
Meix-devant-Virton,2697
Melle,10722
Menen,32610
Merbes-le-Château,4172
Merchtem,15140
Merelbeke,22913
Merksplas,8432
Mesen,952
Messancy,7676
Mettet,12408
Meulebeke,11062
Middelkerke,18614
Modave,3785
Moerbeke (Gent),6004
Moeskroen,54326
Mol,33763
Momignies,5221
Mont-Saint-Guibert,6775
Mont-de-l’Enclus,3476
Montigny-le-Tilleul,10169
Moorslede,10746
Morlanwelz,18905
Mortsel,24658
Musson,4325
Namen,108514
Nandrin,5685
Nassogne,5144
Nazareth,11130
Neerpelt,16369
Neufchâteau (Neufchâteau),6874
Neupré,9782
Nevele,11605
Niel,9230
Nieuwerkerken (Hasselt),6758
Nieuwpoort,11161
Nijlen,21369
Nijvel,25596
Ninove,36490
Oerle,3569
Ohey,4461
Olen,11655
Olne,3808
Onhaye,3131
Oostende,69061
Oosterzele,13269
Oostkamp,22343
Oostrozebeke,7610
Opglabbeek,9997
Opwijk,13004
Opzullik,8109
Orp-Jauche,8157
Ottignies-Louvain-la-Neuve,30005
Oud-Heverlee,10994
Oud-Turnhout,12816
Oudenaarde,29351
Oudenburg,8983
Oudergem,30456
Ouffet,2612
Oupeye,23627
Overijse,24401
Overpelt,13826
Paliseul,5117
Pecq,5374
Peer,16098
Pepingen,4391
Pepinster,9667
Perwijs (Nijvel),7801
Philippeville,8680
Pittem,6704
Plombières,9765
Pont-à-Celles,16611
Poperinge,19935
Profondeville,11503
Putte,16138
Puurs,16526
Péruwelz,16970
Quaregnon,18780
Quiévrain,6565
Quévy,7744
Raeren,10353
Ramillies,6021
Ranst,18124
Ravels,14323
Rebecq,10358
Remicourt,5343
Rendeux,2395
Retie,10683
Riemst,16172
Rijkevorsel,11142
Rixensart,21530
Rochefort,12104
Roeselare,56893
Ronse,24874
Roosdaal,11136
Rotselaar,15430
Rouvroy,2057
Ruiselede,5136
Rumes,5097
Rumst,14657
Saint-Georges-sur-Meuse,6551
Saint-Ghislain,22844
Saint-Hubert,5717
Saint-Léger (Virton),3233
Saint-Nicolas (Luik),22523
Sainte-Ode,2359
Sambreville,27215
Sankt Vith,9275
Schaarbeek,118275
Schelle,8072
Scherpenheuvel-Zichem,22441
Schilde,19541
Schoten,33247
Seneffe,10772
Seraing,62358
Sint-Agatha-Berchem,21669
Sint-Amands,7950
Sint-Genesius-Rode,18036
Sint-Gillis,45712
Sint-Gillis-Waas,18420
Sint-Jans-Molenbeek,85735
Sint-Joost-ten-Node,25185
Sint-Katelijne-Waver,19994
Sint-Lambrechts-Woluwe,50163
Sint-Laureins,6577
Sint-Lievens-Houtem,9596
Sint-Martens-Latem,8228
Sint-Niklaas (Sint-Niklaas),71062
Sint-Pieters-Leeuw,31352
Sint-Pieters-Woluwe,38957
Sint-Truiden,39117
Sivry-Rance,4725
Sombreffe,7860
Somme-Leuze,4844
Soumagne,15892
Spa,10553
Spiere-Helkijn,2105
Sprimont,13358
Stabroek,17833
Staden,11057
Stavelot,6800
Steenokkerzeel,11353
Stekene,17294
Stoumont,2997
Tellin,2433
Temse,27748
Tenneville,2618
Terhulpen,7348
Ternat,14964
Tervuren,21166
Tessenderlo,17458
Theux,11874
Thimister-Clermont,5436
Thuin,14645
Tielt (Tielt),19536
Tielt-Winge,10341
Tienen,32339
Tinlot,2463
Tintigny,3842
Tongeren,29938
Torhout,19762
Tremelo,14284
Trois-Ponts,2493
Trooz,7808
Tubeke,23271
Turnhout,40441
Ukkel,77336
Vaux-sur-Sûre,4942
Verlaine,3703
Verviers,54862
Veurne,11742
Vielsalm,7461
Villers-Le-Bouillet,6220
Villers-la-Ville,9883
Vilvoorde,39097
Viroinval,5730
Virton,11283
Vleteren,3663
Vloesberg,3306
Voeren,4220
Vorselaar,7466
Vorst (Brussel-Hoofdstad),49757
Vosselaar,10245
Vresse-sur-Semois,2770
Waarschoot,7877
Waasmunster,10303
Wachtebeke,7026
Walcourt,17907
Walhain,6240
Wanze,13027
Waregem,36190
Wasseiges,2606
Waterloo,29514
Watermaal-Bosvoorde,24166
Waver,32737
Weismes,6977
Welkenraedt,9425
Wellen,7265
Wellin,2988
Wemmel,15026
Wervik,18022
Westerlo,23669
Wetteren,23412
Wevelgem,30990
Wezembeek-Oppem,13637
Wezet,16995
Wichelen,11144
Wielsbeke,9120
Wijnegem,8972
Willebroek,23965
Wingene,13552
Wommelgem,12295
Wortegem-Petegem,6300
Wuustwezel,19013
Yvoir,8777
Zandhoven,12351
Zaventem,29907
Zedelgem,22058
Zele,20579
Zelzate,12309
Zemst,21837
Zingem,7022
Zinnik,26022
Zoersel,21208
Zomergem,8109
Zonhoven,20469
Zonnebeke,12179
Zottegem,24777
Zoutleeuw,8160
Zuienkerke,2796
Zulte,14808
Zutendaal,7036
Zwalm,8043
Zwevegem,24045
Zwijndrecht,18480
’s Gravenbrakel,20896
