TX_MUNTY_DESCR_NL,MS_POPULATION
Lubbeek,14127
Luik,196291
Lummen,14529
Léglise,5039
Maarkedal,6332
Maaseik,24969
Maasmechelen,37429
Machelen (Halle-Vilvoorde),14271
Maldegem,23263
Malle,15013
Malmedy,12336
Manage,22708
Manhay,3293
Marche-en-Famenne,17387
Marchin,5366
Martelange,1759
Mechelen,83194
Meerhout,10086
Meeuwen-Gruitrode,13008
Meise,18569
Meix-devant-Virton,2776
Melle,11142
Menen,32964
Merbes-le-Château,4249
Merchtem,15900
Merelbeke,23780
Merksplas,8637
Mesen,1040
Messancy,8156
Mettet,12895
Meulebeke,11078
Middelkerke,19177
Modave,4110
Moerbeke (Gent),6248
Moeskroen,56626
Mol,35382
Momignies,5371
Mont-Saint-Guibert,7172
Mont-de-l’Enclus,3625
Montigny-le-Tilleul,10146
Moorslede,10962
Morlanwelz,19073
Mortsel,25242
Musson,4447
Namen,110665
Nandrin,5777
Nassogne,5365
Nazareth,11447
Neerpelt,16844
Neufchâteau (Neufchâteau),7343
Neupré,9899
Nevele,11937
Niel,9833
Nieuwerkerken (Hasselt),6748
Nieuwpoort,11451
Nijlen,22342
Nijvel,27488
Ninove,37658
Oerle,3777
Ohey,4939
Olen,12125
Olne,3895
Onhaye,3088
Oostende,70274
Oosterzele,13489
Oostkamp,23024
Oostrozebeke,7678
Opglabbeek,10194
Opwijk,13975
Opzullik,8223
Orp-Jauche,8627
Ottignies-Louvain-la-Neuve,31247
Oud-Heverlee,10986
Oud-Turnhout,13040
Oudenaarde,30641
Oudenburg,9217
Oudergem,32560
Ouffet,2771
Oupeye,24552
Overijse,24643
Overpelt,14686
Paliseul,5304
Pecq,5595
Peer,16185
Pepingen,4374
Pepinster,9759
Perwijs (Nijvel),8644
Philippeville,9130
Pittem,6758
Plombières,10034
Pont-à-Celles,17015
Poperinge,19893
Profondeville,11940
Putte,17133
Puurs,16972
Péruwelz,17295
Quaregnon,18876
Quiévrain,6690
Quévy,8011
Raeren,10631
Ramillies,6211
Ranst,18607
Ravels,14661
Rebecq,10808
Remicourt,5799
Rendeux,2523
Retie,10897
Riemst,16478
Rijkevorsel,11535
Rixensart,21862
Rochefort,12476
Roeselare,59714
Ronse,25629
Roosdaal,11277
Rotselaar,16169
Rouvroy,2096
Ruiselede,5253
Rumes,5202
Rumst,15025
Saint-Georges-sur-Meuse,6586
Saint-Ghislain,22969
Saint-Hubert,5619
Saint-Léger (Virton),3475
Saint-Nicolas (Luik),23797
Sainte-Ode,2432
Sambreville,27684
Sankt Vith,9530
Schaarbeek,131604
Schelle,8183
Scherpenheuvel-Zichem,22751
Schilde,19400
Schoten,33871
Seneffe,10953
Seraing,63813
Sint-Agatha-Berchem,23690
Sint-Amands,8241
Sint-Genesius-Rode,18005
Sint-Gillis,50460
Sint-Gillis-Waas,19076
Sint-Jans-Molenbeek,94854
Sint-Joost-ten-Node,27447
Sint-Katelijne-Waver,20401
Sint-Lambrechts-Woluwe,53318
Sint-Laureins,6649
Sint-Lievens-Houtem,10083
Sint-Martens-Latem,8439
Sint-Niklaas (Sint-Niklaas),73716
Sint-Pieters-Leeuw,32933
Sint-Pieters-Woluwe,40841
Sint-Truiden,39840
Sivry-Rance,4879
Sombreffe,8226
Somme-Leuze,5204
Soumagne,16548
Spa,10451
Spiere-Helkijn,2120
Sprimont,14241
Stabroek,18304
Staden,11068
Stavelot,7090
Steenokkerzeel,11744
Stekene,17635
Stoumont,3109
Tellin,2442
Temse,29073
Tenneville,2770
Terhulpen,7383
Ternat,15319
Tervuren,21321
Tessenderlo,18205
Theux,12070
Thimister-Clermont,5631
Thuin,14530
Tielt (Tielt),19968
Tielt-Winge,10659
Tienen,33511
Tinlot,2604
Tintigny,4099
Tongeren,30655
Torhout,20395
Tremelo,14776
Trois-Ponts,2525
Trooz,8188
Tubeke,24824
Turnhout,42281
Ukkel,81089
Vaux-sur-Sûre,5369
Verlaine,4014
Verviers,55463
Veurne,11396
Vielsalm,7574
Villers-Le-Bouillet,6400
Villers-la-Ville,10316
Vilvoorde,41843
Viroinval,5795
Virton,11469
Vleteren,3668
Vloesberg,3490
Voeren,4120
Vorselaar,7689
Vorst (Brussel-Hoofdstad),54524
Vosselaar,10747
